id; name; img; description; time; mark; see; type;
0; Deep Learning; https://i.playground.ru/p/CDbpt6Tf6x2u7xoyiRGlhA.jpeg; Цель этого курса - познакомить слушателей с теорией и практикой глубокого обучения и нейронных сетей в интерактивном формате.; 72; 4.8; 6382; 1;
1; Компетентное лидерство; https://avatars.mds.yandex.net/get-zen_doc/3684252/pub_5f2d56e692dcfa7630d4ee6f_5f2d56fa7407c55db11655de/scale_1200; помогает обучающимся самоопределиться в лидерской позиции с учетом ресурсов своей личности и требований к эффективному лидерству; 48 ; 4.8; 1489; 3;
2; Python для тех, у кого лапки; https://pythonru.com/wp-content/uploads/2018/11/programmirovanie-na-python.png; Если вы хотите освоить веб-разработку на Python, машинное обучение, работать аналитиком или научиться решать задачи бизеса с помощью Python, но у вас еще нет опыта программирования.; 108; 5; 60; 3;
3; Факультет искусственного интеллекта; https://img.global.news.samsung.com/global/wp-content/uploads/2018/11/global-AI-competition_main_1.jpg; За два года спрос на Data Scientist-ов вырос в два раза, по данным HeadHunter. С помощью методов машинного обучения они строят прогнозы и повышают эффективность бизнес-процессов в любой отрасли. Мы поможем стать таким специалистом с нуля и найдем вам работу.; 87; 3.8; 412; 3;
4; Сетевая инженерия; http://mabi.vspu.ru/files/2015/04/Computer-39-www.mehrad-co.comL_-550x413.jpg; Сетевой инженер проектирует корпоративные сети: объединяет компьютеры и серверы, обновляет программы, отвечает за безопасность данных, устраняет аварии. Без него не получится автоматизировать работу банков, больниц, заводов, аэропортов; 72; 3.7; 123; 2;
5; Факультет информационной безопасности; https://te-st.ru/wp-content/uploads/2018/05/security-protection-anti-virus-software-60504-e1527251123394.jpeg; Из-за цифровизации и перехода на удалённую работу компаниям как никогда нужны сотрудники, обеспечивающие защиту IT-инфраструктуры. В середине 2020 года спрос на специалистов по информационной безопасности вырос на 65%. Мы поможем с нуля освоить передовые технологии и компетенции и найдём вам работу.; 72; 4.7; 23452; 1;
6; Факультет дизайна интерфейсов (UX/UI); https://webitfactory.io/wp-content/uploads/2019/11/ui-ux.png; Дизайнер интерфейсов (UX/UI) проектирует взаимодействие пользователя с сайтом, приложением или сервисом и создает визуальные элементы, систему и прототип интуитивно понятного интерфейса; 72; 4.2; 34; 1;
7; Cloud Data Engineering; https://cdn.app.compendium.com/uploads/user/e7c690e8-6ff9-102a-ac6d-e4aebca50425/f0499405-1197-4b43-b7c5-40548eeb9f34/Image/6baad3669e8040296dad0ed03babba9a/data_warehouse_in_cloud.jpg; Инженер облачных сервисов помогает принимать решения на основе данных — отвечает за их сбор, преобразование и публикацию. Он умеет проектировать, создавать и запускать системы обработки данных, обеспечивать их безопасность и контроль. А ещё — использовать, развёртывать и обучать уже существующие модели машинного обучения.; 108; 4.5; 7654; 2;
8; Разработка на C#; https://wakeupandcode.com/wp-content/uploads/2019/03/C.NET_-1024x384-1.png; Научитесь разрабатывать веб-сервисы и приложения, используя язык программирования C#. Получите практический опыт и реализуете 4 собственных проекта для портфолио.; 87; 5; 754; 3;
9; Факультет Java-разработки; https://www.jrebel.com/sites/rebel/files/image/2020-05/image-blog-revel-top-java-tools.jpg; Освойте один из самых распространенных языков программирования и получите востребованную профессию. После обучения вы сможете создавать сетевые чаты, приложения, мобильные игры и другие сервисы.; 108; 3.9; 354; 2;
10; Факультет разработки на С++; https://miro.medium.com/max/3840/0*ZpjhBs0gR5oSd3Il; Станьте разработчиком на C++ с нуля. Вы научитесь писать код на языках C/C++, создавать сетевые и мобильные приложения и реализовывать графические интерфейсы.; 64; 4.2; 942; 2;
11; Факультет тестирования ПО; https://avatars.mds.yandex.net/get-zen_doc/195447/pub_5b34a262aea19c00a930b232_5b34a5ea38ac4100aa56bcc5/scale_1200; Освойте профессию тестировщика с нуля. Вы получите всё для старта карьеры: навыки ручного тестирования, практику автоматизации на Java и опыт работы с веб-приложениями.; 64; 4.8; 45; 1;
12; Разработка игр на Unity; https://blogs.unity3d.com/wp-content/uploads/2020/02/Unity-GDC2020-BlogHeader-01.png; Освойте разработку игр с нуля и получите всё для уверенного старта в геймдеве. Вы научитесь писать на C#, работать с Unity и воплощать идеи в собственных играх.; 32; 4.3; 7345; 3;
13; Факультет аналитики Big Data; https://www.calltouch.ru/upload/medialibrary/d92/d92068c04339cb5e74aa9ddbb0c01b23.jpg; Вы научитесь собирать и анализировать данные, извлекать полезную информацию и находить закономерности. После обучения сможете проверять гипотезы и помогать бизнесу принимать взвешенные решения.; 18; 3.5; 234; 1;
14; Fullstack JavaScript; https://i.ytimg.com/vi/Fs1G1BcP4BI/maxresdefault.jpg; Освойте с нуля язык программирования JavaScript, чтобы стать fullstack-разработчиком. Вы научитесь создавать сайты, мобильные приложения и высоконагруженные сервисы.; 108; 5; 16753; 2;
